@relation Train1

@attribute Call_Type {A,B,C}
@attribute Start_x real
@attribute Start_y real
@attribute Past real
@attribute AvgSpeed real
@attribute Time real


@data
"C",-8.596548,41.137695,235,18.925606062457,3570
"B",-8.600202,41.182704,45,10.5435305599098,1080
"B",-8.608968,41.147397,23,4.9677887716507,330
"B",-8.630604,41.154912,68,11.2662166170281,1050
"C",-8.598303,41.125797,10,8.58413455077109,960
"A",-8.609913,41.159529,14,6.42872731963185,585
"C",-8.600013,41.182686,75,6.15784680542477,1305
"B",-8.617608,41.146155,19,5.68375022641983,870
"A",-8.617914,41.170212,41,5.59998672196615,945
"A",-8.606817,41.14575,95,11.9794645814594,1410
"C",-8.64405,41.154417,69,4.13080483073588,1185
"A",-8.664993,41.163777,71,21.4174760189719,1605
"C",-8.606745,41.162688,36,13.9732103492753,1590
"B",-8.610975,41.145741,53,5.43758318701192,1020
"A",-8.61201,41.148531,76,13.8907661980128,2130
"C",-8.583129,41.164686,35,1.70345480380784,735
"B",-8.61984,41.148036,157,3.98822157028434,3630
"B",-8.611227,41.171967,6,2.78806564996122,870
"A",-8.630748,41.154444,16,1.3193535269201,1410
"C",-8.653482,41.158278,14,5.37454738825241,975
"B",-8.58015,41.159376,19,13.8252851857813,600
"B",-8.627769,41.175414,50,4.99414602642101,1335
"B",-8.613135,41.166855,10,6.53815064576649,480
"A",-8.609949,41.158287,26,5.73251899942249,390
"B",-8.630433,41.154849,6,17.0770228841419,225
"B",-8.585631,41.148594,21,4.51907059190238,585
"A",-8.613423,41.181435,32,6.11277314776488,480
"B",-8.606475,41.144634,51,8.6540840239828,900
"C",-8.612892,41.157027,9,4.15163709073408,405
"B",-8.619858,41.147928,21,5.63765690690856,330
"B",-8.619849,41.147937,33,5.45174518206636,585
"B",-8.606547,41.144661,31,5.43708987352395,555
"A",-8.643447,41.15745,64,4.12265062138922,1005
"B",-8.569728,41.166072,46,18.40446592227,1110
"B",-8.627688,41.157567,29,4.76924891187762,675
"A",-8.640162,41.166153,17,6.3363426109167,960
"B",-8.649585,41.167296,11,6.14695067931412,855
"A",-8.660295,41.150052,52,3.50097170071729,870
"B",-8.585622,41.148504,38,13.7917262452112,720
"A",-8.650134,41.159043,34,4.60742629185787,1050
"A",-8.641044,41.159934,21,10.8648497177425,750
"B",-8.58564,41.148558,41,15.0733691488465,1050
"A",-8.663868,41.161779,4,6.21582504455647,900
"C",-8.597034,41.147469,14,3.78846312593449,2520
"B",-8.61984,41.148018,73,3.57195370628216,1620
"C",-8.653077,41.168502,28,6.01071419217367,675
"A",-8.643033,41.165172,76,18.1019667231856,1200
"B",-8.62722,41.152212,6,3.36280383546572,210
"B",-8.604873,41.16105,47,6.35131487043672,750
"B",-8.580222,41.159232,3,5.55344441265534,675
"B",-8.621046,41.161086,5,6.36762456406462,450
"B",-8.613252,41.154372,30,3.80716515074551,600
"B",-8.609598,41.160411,7,5.26416256195293,420
